"V1" "V2" "V3"
-20.9187304346185 -47.897924975345 -6.07583669612282
-8.98201817581334 -44.1943746350475 -7.07190261427889
-14.418156086559 -53.8122811653245 -6.59474514571714
-7.09857628985149 -50.0413749973948 -3.46846870968982
-6.87366234172474 -55.2724183400472 -3.79541330265276
-4.84822142720222 -36.78723487854 -7.54000096917152
-21.6664555777966 -49.5931658140371 -4.72141293404808
-9.50613083710542 -28.8832694646474 -4.19411944054268
-13.4468803564707 -18.8032751083374 -4.90779179732005
-13.6613888235653 -32.2587604298311 -3.69543607375201
-8.2741136904116 -60.7897065245075 -3.98559693936948
-5.33212580851146 -30.9473927361625 -4.17901564495904
-9.70219199223952 -17.6736734563654 -6.66088190403852
-22.0739371131448 -44.80352379294 -4.81972921595854
-16.4159159362316 -44.746574640274 -7.22182966768742
-1.91782002803708 -27.3705099436862 -5.71697411655394
-21.5700425293486 -43.6602310568599 -4.51243158114158
-3.52972756197423 -58.1901388757023 -3.83765990057109
-11.9067773404329 -53.5733130634695 -6.57324064641759
